Domain,Type,Agency,Organization,City,State,Security Contact Email,v,p,sp,pct,adkim,aspf,fo,ruf,rua,rf,ri,
army.mil,Military,Department of Defense,GCSS-Army,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,GCSS-Army,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
dod.mil,Military,Department of Defense,General Counsel, Department of Defense ,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
marshallcenter.org,Military,Department of Defense,George C. Marshall European Center for Security Studies,null,null,null,DMARC1,none,none,100,r,r,0,none,mailto:dmarcreports@marshallcenter.org,afrf,86400,
facebook.com,Military,Department of Defense,George C. Marshall European Center for Security Studies,null,null,null,DMARC1,reject,reject,100,r,r,0,mailto:fb-dmarc@datafeeds.phishlabs.com,mailto:a@dmarc.facebookmail.com,afrf,86400,
facebook.com,Military,Department of Defense,George C. Marshall European Center for Security Studies,null,null,null,DMARC1,reject,reject,100,r,r,0,mailto:fb-dmarc@datafeeds.phishlabs.com,mailto:a@dmarc.facebookmail.com,afrf,86400,
ng.mil,Military,Department of Defense,Georgia National Guard,null,null,null,DMARC1,error,error,100,r,r,0,none,none,afrf,86400,
goarmy.com,Military,Department of Defense,Golden Knights, Army ,null,null,DMARC1,none,none,100,r,r,1,mailto:usarmy.knox.hrc.mbx.persinsd-clientsvr-app-alerts@mail.mil,mailto:usarmy.knox.hrc.mbx.persinsd-clientsvr-app-alerts@mail.mil,afrf,86400,
gpo.gov,Military,Department of Defense,Government Publishing Office ,null,null,null,DMARC1,error,error,100,r,r,0,none,none,afrf,86400,
osd.mil,Military,Department of Defense,Gulf War Medical Research Library (GulfLINK) ,null,null,null,DMARC1,reject,reject,100,r,r,1:s:d,mailto:disa.pentagon.jsp.mbx.opord-18-0206-oge@mail.mil,mailto:DMARC_REPORTS@mail.mil,afrf,86400,
army.mil,Military,Department of Defense,Headquarters Forces Command,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
health.mil,Military,Department of Defense,Health Affairs (HA) ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
af.mil,Military,Department of Defense,Hill Air Force Base, Utah ,null,null,null,,,,,,,,,,,
defense.gov,Military,Department of Defense,Historical Office of the Secretary of Defense,null,null,null,DMARC1,reject,reject,100,r,r,1,none,"mailto:dmarc_reports@mail.mil,mailto:itservicedesk@defense.gov",afrf,86400,
hdiac.org,Military,Department of Defense,Homeland Defense & Security Information Analysis Center,null,null,null,DMARC1,reject,none,100,r,r,0,none,"mailto:re+5beebe242960@inbound.dmarcdigests.com,mailto:dmarc_reports@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,HQ IMCOM,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,HQ, 403d Army Field Support Brigade,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,HQDA,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,HQDA DCS G-8,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
emergencyreporting.us,Military,Department of Defense,HQDA DCS, G-9 (Installations),null,null,DMARC1,none,none,100,r,r,0,none,mailto:dmarc_agg@vali.email,afrf,86400,
pentagon.mil,Military,Department of Defense,HQDA, Deputy Chief of Staff, G-2,null,DMARC1,reject,reject,100,r,r,1,none,mailto:dmarc_reports@mail.mil,afrf,86400,
facebook.com,Military,Department of Defense,Humphreys Middle School,null,null,null,DMARC1,reject,reject,100,r,r,0,mailto:fb-dmarc@datafeeds.phishlabs.com,mailto:a@dmarc.facebookmail.com,afrf,86400,
marines.mil,Military,Department of Defense,II Marine Expeditionary Force*,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,III Marine Expeditionary Force,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,IMCOM,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
armymwr.com,Military,Department of Defense,IMCOM,null,null,null,null,,,,,,,,,,,
arsenaleats.com,Military,Department of Defense,IMCOM  ID Sustainment  Picatinny MWR,null,null,null,null,,,,,,,,,,,
armyfamilywebportal.com,Military,Department of Defense,IMCOM G9,null,null,null,DMARC1,quarantine,quarantine,100,r,r,1,none,none,afrf,86400,
cannongateevents.com,Military,Department of Defense,IMCOM Picatinny MWR,null,null,null,null,,,,,,,,,,,
frogfalls.com,Military,Department of Defense,IMCOM Picatinny MWR Frog Falls,null,null,null,spf1,error,error,100,r,r,0,none,none,afrf,86400,
army.mil,Military,Department of Defense,INSCOM,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,INSCOM Organizations,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
dodig.mil,Military,Department of Defense,Inspector General ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@dodig.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,Installation Management Command (IMCOM) Headquarters,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
instituteforsecuritygovernance.org,Military,Department of Defense,Institute for Security Governance (ISG),null,null,null,null,,,,,,,,,,,
army.mil,Military,Department of Defense,Integrated Personnel and Pay System - Army (IPPS-A) ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
ndu.edu,Military,Department of Defense,International Student Management Office*,null,null,null,DMARC1,reject,reject,100,r,r,1,none,"mailto:dmarc_reports@mail.mil,mailto:dmarc_reports@ndu.edu",afrf,86400,
iowanationalguard.com,Military,Department of Defense,Iowa National Guard,null,null,null,DMARC1,none,none,100,r,r,0,mailto:dmarc@mailinblue.com!10m,mailto:dmarc@mailinblue.com!10m,afrf,86400,
irregularwarfarecenter.org,Military,Department of Defense,Irregular Warfare Center,null,null,null,null,,,,,,,,,,,
linkedin.com,Military,Department of Defense,Irregular Warfare Center (IWC),null,null,null,DMARC1,reject,reject,100,r,r,0,"mailto:d@ruf.agari.com,mailto:yfy3q-9359@ruf.dmarc.emailanalyst.com","mailto:d@rua.agari.com,mailto:yfy3q-9359@rua.dmarc.emailanalyst.com",afrf,86400,
facebook.com,Military,Department of Defense,Irregular Warfare Center (IWC),null,null,null,DMARC1,reject,reject,100,r,r,0,mailto:fb-dmarc@datafeeds.phishlabs.com,mailto:a@dmarc.facebookmail.com,afrf,86400,
iwtsd.gov,Military,Department of Defense,Irregular Warfare Technical Support Directorate,null,null,null,DMARC1,none,none,100,r,r,0,none,mailto:25a78f5f52e3423990d0f138eec385da@dmarc-reports.cloudflare.net,afrf,86400,
facebook.com,Military,Department of Defense,Katterbach Fitness Center USAG Ansbach MWR ,null,null,null,DMARC1,reject,reject,100,r,r,0,mailto:fb-dmarc@datafeeds.phishlabs.com,mailto:a@dmarc.facebookmail.com,afrf,86400,
army.mil,Military,Department of Defense,Keller Army Community Hospital - Internet,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
tricare.mil,Military,Department of Defense,Kimbrough AMB Care Center-Meade,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,Kirk U.S. Army Health Clinic,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
tricare.mil,Military,Department of Defense,Landstuhl Regional Medcen,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
af.mil,Military,Department of Defense,LeaveWeb,null,null,null,null,,,,,,,,,,,
dod.mil,Military,Department of Defense,Legal Services Agency, Defense (DLSA) ,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
army.mil,Military,Department of Defense,Letterkenny Army Depot,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
loc.gov,Military,Department of Defense,Library of Congress ,null,null,null,DMARC1,none,none,100,r,r,1,mailto:locdmarc_ruf@loc.gov,mailto:locdmarc_reports@loc.gov,afrf,86400,
lmoc.mil,Military,Department of Defense,Live Mission Operations Capability (LMOC),null,null,null,null,,,,,,,,,,,
osd.mil,Military,Department of Defense,Logistics and Material Readiness ,null,null,null,DMARC1,reject,reject,100,r,r,1:s:d,mailto:disa.pentagon.jsp.mbx.opord-18-0206-oge@mail.mil,mailto:DMARC_REPORTS@mail.mil,afrf,86400,
army.mil,Military,Department of Defense,Logistics Modernization Program,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,MAGTFTC/MCAGCC*,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.com,Military,Department of Defense,Marine Corps - Recruiting,null,null,null,DMARC1,none,none,100,r,r,0,none,mailto:postmaster@marines.com,afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Air Station Futenma,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Air Station Iwakuni,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Air Station New River,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Base Camp Lejeune,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Base Camp Pendleton,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Base Hawaii,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Base Hawaii,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Base Quantico,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
instagram.com,Military,Department of Defense,Marine Corps CDET & MarineNet,null,null,null,DMARC1,reject,reject,100,r,r,0,mailto:fb-dmarc@datafeeds.phishlabs.com,mailto:a@dmarc.facebookmail.com,afrf,86400,
facebook.com,Military,Department of Defense,Marine Corps College of Distance Education and Training / MarineNet,null,null,null,DMARC1,reject,reject,100,r,r,0,mailto:fb-dmarc@datafeeds.phishlabs.com,mailto:a@dmarc.facebookmail.com,afrf,86400,
usmc-mccs.org,Military,Department of Defense,Marine Corps Community Services ,null,null,null,DMARC1,reject,reject,100,r,r,1,none,mailto:dmarc_agg@valigov.email,afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Engineer School,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
mymcx.com,Military,Department of Defense,Marine Corps Exchange,null,null,null,DMARC1,none,none,100,r,r,1,mailto:dmarc_ruf@emaildefense.proofpoint.com,"mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:DMARC_REPORTS@MAIL.MIL",afrf,86400,
emergencyreporting.us,Military,Department of Defense,Marine Corps Fire & Emergency Services,null,null,null,DMARC1,none,none,100,r,r,0,none,mailto:dmarc_agg@vali.email,afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Installations East,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Installations Pacific,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Installations Pacific Public Affairs Office,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,Marine Corps Recruiting Command*,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
marines.mil,Military,Department of Defense,Marine Rotational Force-Darwin,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usmc.mil,mailto:dmarc_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Maritime Strategy ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,McAlester Army Amunition Plant,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,Medal of Honor Citations All Wars ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,MEDCOM EEO,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,MEDCOM Safety,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
metc.mil,Military,Department of Defense,Medical Education and Training Campus,null,null,null,DMARC1,error,error,100,r,r,0,none,none,afrf,86400,
medicineandthemilitary.com,Military,Department of Defense,Medicine and the Military,null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:admin@medicineandthemilitary.com,afrf,86400,
usma.edu,Military,Department of Defense,Military Academy (West Point, N.Y.) ,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc-reporting@dren.mil,afrf,86400,
dod.mil,Military,Department of Defense,Military Acclimate (cost of living comparisons) ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
defense.gov,Military,Department of Defense,Military Awards for Valor - Top 3,null,null,null,DMARC1,reject,reject,100,r,r,1,none,"mailto:dmarc_reports@mail.mil,mailto:itservicedesk@defense.gov",afrf,86400,
todaysmilitary.com,Military,Department of Defense,Military Careers (all services) ,null,null,null,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:admin@todaysmilitary.com,afrf,86400,
mc.mil,Military,Department of Defense,Military Commissions,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
health.mil,Military,Department of Defense,Military Health System ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
militaryonesource.mil,Military,Department of Defense,Military OneSource,null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
milsuite.mil,Military,Department of Defense,milSuite,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:milsuite@mail.mil",afrf,86400,
defense.gov,Military,Department of Defense,Ministry of Defense Advisors (MoDA),null,null,null,DMARC1,reject,reject,100,r,r,1,none,"mailto:dmarc_reports@mail.mil,mailto:itservicedesk@defense.gov",afrf,86400,
mda.mil,Military,Department of Defense,Missile Defense Agency (MDA) ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc-reporting@dren.mil,afrf,86400,
moguard.com,Military,Department of Defense,Missouri National Guard,null,null,null,null,,,,,,,,,,,
army.mil,Military,Department of Defense,Moncrief Army Health Clinic,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
army.mil,Military,Department of Defense,Morale, Wellness, Recreation,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reports@mail.mil,mailto:usarmy.huachuca.2rcc-wh.mbx.dmarc@mail.mil",afrf,86400,
mncne.pl,Military,Department of Defense,Multinational Corps Northeast ,null,null,null,null,,,,,,,,,,,
navymwrbethesda.com,Military,Department of Defense,MWR Bethesda,null,null,null,null,,,,,,,,,,,
myfuture.com,Military,Department of Defense,My Future (all services) ,null,null,null,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:admin@myfuture.com,afrf,86400,
navy.mil,Military,Department of Defense,MyNavy HR*,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
dfas.mil,Military,Department of Defense,myPay,null,null,null,DMARC1,reject,reject,100,r,r,1,"mailto:dfas.indianapolis-in.ztd.mbx.cin-spam@mail.mil,","mailto:dmarc_reports@mail.mil,",afrf,86400,
t2health.org,Military,Department of Defense,National Center for Telehealth and Technology,null,null,null,null,,,,,,,,,,,
whs.mil,Military,Department of Defense,National Commission on the Structure of the Air Force,null,null,null,DMARC1,reject,reject,100,r,r,1:s,mailto:disa.pentagon.jsp.mbx.opord-18-0206-oge@mail.mil,mailto:DMARC_REPORTS@mail.mil,afrf,86400,
ndu.edu,Military,Department of Defense,National Defense University,null,null,null,DMARC1,reject,reject,100,r,r,1,none,"mailto:dmarc_reports@mail.mil,mailto:dmarc_reports@ndu.edu",afrf,86400,
ndu.edu,Military,Department of Defense,National Defense University Press (NDU Press),null,null,null,DMARC1,reject,reject,100,r,r,1,none,"mailto:dmarc_reports@mail.mil,mailto:dmarc_reports@ndu.edu",afrf,86400,
nationalguard.mil,Military,Department of Defense,National Guard - Official Site,null,null,null,DMARC1,reject,reject,100,r,r,1,none,mailto:dmarc_reports@mail.mil,afrf,86400,
nro.gov,Military,Department of Defense,National Reconnaissance Office (NRO) ,null,null,null,DMARC1,error,error,100,r,r,0,none,none,afrf,86400,
nrd.gov,Military,Department of Defense,National Resource Directory,null,null,null,null,,,,,,,,,,,
nsa.gov,Military,Department of Defense,National Security Agency,null,null,null,DMARC1,error,error,100,r,r,0,none,none,afrf,86400,
nsin.mil,Military,Department of Defense,National Security Innovation Network,null,null,null,DMARC1,none,none,100,r,r,1,"mailto:diuit+dmarcian@diu.mil,mailto:yjot7fyx@fr.dmarcian.com","mailto:diuit+dmarcian@diu.mil,mailto:yjot7fyx@ag.dmarcian.com,mailto:dmarc_reports@mail.mil",afrf,86400,
af.mil,Military,Department of Defense,National Security Space Institute,null,null,null,DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
noaa.gov,Military,Department of Defense,National Weather Service,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc-reports@doc.gov,mailto:reports@dmarc.cyber.dhs.gov",afrf,86400,
usna.edu,Military,Department of Defense,Naval Academy (Annapolis, Md.) ,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc_reporting@usna.edu,mailto:dmarc_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Air Station Meridian,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Air Station Whidbey Island*,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Air Systems Command,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
linkedin.com,Military,Department of Defense,Naval Air Warfare Center Training Systems Division,null,null,null,DMARC1,reject,reject,100,r,r,0,"mailto:d@ruf.agari.com,mailto:yfy3q-9359@ruf.dmarc.emailanalyst.com","mailto:d@rua.agari.com,mailto:yfy3q-9359@rua.dmarc.emailanalyst.com",afrf,86400,
navy.mil,Military,Department of Defense,Naval Base Kitsap,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Computer and Telecommunication Station,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Computer and Telecommunications Area Master Atlantic (NCTAMS LANT) Norfolk VA,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Construction Battalion Center Gulfport,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Criminal Investigative Service,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Education and Training Command,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Education and Training Command,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Facilities Engineering Command,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval History & Heritage Command ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
tricare.mil,Military,Department of Defense,Naval Hospital Camp Pendleton*,null,null,null,DMARC1,quarantine,reject,100,r,r,0,none,mailto:dmarc_reports@mail.mil,afrf,86400,
navy.mil,Military,Department of Defense,Naval Hospital Jacksonville website,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Information Warfare Training Group San Diego,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Magazine Indian Island,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Oceanography Anti-submarine Warfare Center, Yokosuka ,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Safety Command,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Sea Systems Command,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
sealswcc.com,Military,Department of Defense,Naval Special Warfare Center,null,null,null,null,,,,,,,,,,,
navy.mil,Military,Department of Defense,Naval Special Warfare Command,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Station ,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Station Everett,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Surface Warfare Center Panama City Division,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Surface Warfare Center, Corona Division,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,Naval Vessel Register,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
navy.mil,Military,Department of Defense,NAVSUP Business Systems Center,null,null,null,DMARC1,reject,reject,100,r,r,0,none,"mailto:DMARC_REPORTING@navy.mil,mailto:DMARC_reports@mail.mil",afrf,86400,
